Order Date,Order ID,Account Group,PO Number,Order Quantity,Currency,Order Subtotal,Order Shipping & Handling,Order Promotion,Order Tax,Order Net Total,Order Status,Approver,Order Receiving Status,Order Received Quantity,Account User,Account User Email,Invoice Status,Total Amount,Invoice Due Amount,Invoice Issue Date,Invoice Due Date,Payment Reference ID,Payment Date,Payment Amount,Payment Instrument Type,Payment Identifier,Amazon-Internal Product Category,ASIN,Title,UNSPSC,Segment,Family,Class,Commodity,Brand Code,Brand,Manufacturer,National Stock Number,Item model number,Part number,Product Condition,Company Compliance,Listed PPU,Purchase PPU,Item Quantity,Item Subtotal,Item Shipping & Handling,Item Promotion,Item Tax,Item Net Total,PO Line Item Id,Tax Exemption Applied,Tax Exemption Type,Tax Exemption Opt Out,Pricing Savings program,Pricing Discount Applied,Receiving Status,Received Quantity,Received Date,Receiver Name,Receiver Email,GL Code,Department,Cost Center,Project Code,Location,Custom Field 1,Seller Name,Seller Credentials,Seller City,Seller State,Seller ZipCode
11/03/2025,111-7740216-3442649,Brandon Household,,1,USD,"34.43","2.99","-2.99","2.07","36.50",Closed,,,,Terrance Brandon,TerranceBrandon@me.com,N/A,N/A,N/A,N/A,N/A,1NSWMIK3BOYC,11/03/2025,"36.50",American Express,="3008",Health and Beauty,B0739KKHWL,"Nordic Naturals Ultimate Omega, Lemon Flavor - 90 Soft Gels - 1280 mg Omega-3 - High-Potency Omega-3 Fish Oil Supplement with EPA & DHA - Promotes Brain & Heart Health - Non-GMO - 45 Servings",="50500000",Food Beverage and Tobacco Products,Nutritional supplements,Nutritional supplements,Nutritional supplements,,Nordic Naturals,Nordic Naturals,,RUS-01804,RUS-01804,New,,N/A,"34.43",1,"34.43","2.99","-2.99","2.07","36.50",,No,,No,N/A,"0.00",,,N/A,,,,,,,,,Nordic Naturals,889 certification,,,
10/27/2025,114-0391616-9627400,Brandon Household,,3,USD,"24.83","0.00","0.00","1.64","26.47",Closed,,,,Brittany Brandon,brittanybrandon@mail.com,N/A,N/A,N/A,N/A,N/A,509O8KAQJ00Q,10/28/2025,"26.47",American Express,="3008",Book,="1601429185",When God Made You,="55101500",Published Products,Printed media,Printed publications,Printed publications,COO1F,Convergent Books,Convergent Children's,,,="071590",New,,N/A,"6.53",1,"6.53","0.00","","0.43","6.96",,No,,No,N/A,"0.00",,,N/A,,,,,,,,Giving- Friends/ Family,Amazon.com,,Seattle,WA,="98109"
10/27/2025,114-0391616-9627400,Brandon Household,,3,USD,"24.83","0.00","0.00","1.64","26.47",Closed,,,,Brittany Brandon,brittanybrandon@mail.com,N/A,N/A,N/A,N/A,N/A,509O8KAQJ00Q,10/28/2025,"26.47",American Express,="3008",Book,="1454946865",The Pigeon Will Ride the Roller Coaster!,="55101500",Published Products,Printed media,Printed publications,Printed publications,UNYON,Union Square Kids,Union Square Kids,,,,New,,N/A,"8.31",1,"8.31","0.00","","0.55","8.86",,No,,No,N/A,"0.00",,,N/A,,,,,,,,Giving- Friends/ Family,Amazon.com,,Seattle,WA,="98109"
10/27/2025,114-0391616-9627400,Brandon Household,,3,USD,"24.83","0.00","0.00","1.64","26.47",Closed,,,,Brittany Brandon,brittanybrandon@mail.com,N/A,N/A,N/A,N/A,N/A,509O8KAQJ00Q,10/28/2025,"26.47",American Express,="3008",Book,="1368114997",Don't Let the Pigeon Drive the Bus! (Board Book),="55101500",Published Products,Printed media,Printed publications,Printed publications,DISZK,,Hyperion Books for Children,,,,New,,N/A,"9.99",1,"9.99","0.00","","0.66","10.65",,No,,No,N/A,"0.00",,,N/A,,,,,,,,Giving- Friends/ Family,Amazon.com,,Seattle,WA,="98109"
10/27/2025,114-0438170-5743462,Brandon Household,,1,USD,"6.94","0.00","0.00","0.42","7.36",Pending,,,,Brittany Brandon,brittanybrandon@mail.com,N/A,N/A,N/A,N/A,N/A,6V5AXOIDNZKI,10/28/2025,"7.36",American Express,="3008",Book,="0698117972","Mine, All Mine!: A Book About Pronouns (Explore!)",="55101500",Published Products,Printed media,Printed publications,Printed publications,PUFN,Puffin,Puffin Books,,,="9780698117976",Used - Very good,,N/A,"6.94",1,"6.94","0.00","","0.42","7.36",,No,,No,N/A,"0.00",,,N/A,,,,,,,,Kaelin's Education,ThriftBooks-Seattle,,Tukwila,WA,="98188"
10/27/2025,114-2615443-1935401,Brandon Household,,2,USD,"35.48","0.00","0.00","2.13","37.61",Closed,,,,Brittany Brandon,brittanybrandon@mail.com,N/A,N/A,N/A,N/A,N/A,5TSV5EH9KC3Q,10/28/2025,"37.61",American Express,="3008",Book,="0698113543",A Cache of Jewels: And Other Collective Nouns (World of Language),="55101500",Published Products,Printed media,Printed publications,Printed publications,PUFN,Puffin,Puffin Books,,,="9780698113541",New,,N/A,"9.99",1,"9.99","0.00","","0.60","10.59",,No,,No,N/A,"0.00",,,N/A,,,,,,,,Kaelin's Education,Amazon.com,,Seattle,WA,="98109"
10/27/2025,114-2615443-1935401,Brandon Household,,2,USD,"35.48","0.00","0.00","2.13","37.61",Closed,,,,Brittany Brandon,brittanybrandon@mail.com,N/A,N/A,N/A,N/A,N/A,5TSV5EH9KC3Q,10/28/2025,"37.61",American Express,="3008",Toy,B083Q6PJPL,Montessori Trinomial Cube Montessori Math Toys Sensorial Materials for Toddlers Kids,="60141105",Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,Toys and games,Games,Puzzles,,Kghios,MY toy shop,,MY toy shop,MY toy shop,New,,N/A,"25.49",1,"25.49","0.00","","1.53","27.02",,No,,No,N/A,"0.00",,,N/A,,,,,,,,Kaelin's Education,MY toy shop,,苏州市,江苏,="215000"
10/27/2025,114-5790101-3746639,Brandon Household,,1,USD,"8.63","0.00","0.00","0.52","9.15",Closed,,,,Brittany Brandon,brittanybrandon@mail.com,N/A,N/A,N/A,N/A,N/A,5754HLJMSKKS,10/28/2025,"9.15",American Express,="3008",Book,="0698118758",Fantastic! Wow! and Unreal!: A Book About Interjections and Conjunctions (Explore!),="55101500",Published Products,Printed media,Printed publications,Printed publications,PUFN,Puffin,Puffin Books,,,FBA-|287062,Used - Good,,N/A,"8.63",1,"8.63","0.00","","0.52","9.15",,No,,No,N/A,"0.00",,,N/A,,,,,,,,Kaelin's Education,Hawking Books,,EDGEWOOD,TX,="75117"
10/24/2025,112-9635463-1092264,Brandon Household,,2,USD,"38.98","0.00","0.00","2.34","41.32",Closed,,,,Brittany Brandon,brittanybrandon@mail.com,N/A,N/A,N/A,N/A,N/A,1AVLEOS0286C,10/25/2025,"41.32",American Express,="3008",Office Product,B079KL4C91,"Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets, 9 x 11.5-Inch, 200-Pack, 3mil",="44102000",Office Equipment and Accessories and Supplies,Office machines and their supplies and accessories,Laminating supplies,Laminating supplies,AMZSM,Amazon Basics,"Amazon, this product may originate from Malaysia or Vietnam",,89201P,89201P,New,,N/A,"17.99",1,"17.99","0.00","","1.08","19.07",,No,,No,N/A,"0.00",,,N/A,,,,,,,,Kaelin's Education,Amazon.com,,Seattle,WA,="98109"
10/24/2025,112-9635463-1092264,Brandon Household,,2,USD,"38.98","0.00","0.00","2.34","41.32",Closed,,,,Brittany Brandon,brittanybrandon@mail.com,N/A,N/A,N/A,N/A,N/A,1AVLEOS0286C,10/25/2025,"41.32",American Express,="3008",Office Product,B0D22WVFPH,"Gilprop 4 Pcs Primary Composition Notebook Spiral K-2 Writing Workbook Wide Ruled Paper Primary Journal 100 Sheets 9.8"" x 7.5"" Kindergarten Notebook",="14111514",Paper Materials and Products,Paper products,Printing and writing paper,Paper pads or notebooks,,Gilprop,Gilprop,,Gilprop,Gilprop,New,,N/A,"20.99",1,"20.99","0.00","","1.26","22.25",,No,,No,N/A,"0.00",,,N/A,,,,,,,,Kaelin's Education,Ayooaw,,深圳市,广东省,="518033"
